Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
J1,TBLOCK-M2,TBLOCK-M2,,TOP,0,590.626,1181.1
J6,TBLOCK-M2,TBLOCK-M2,,TOP,0,1082.75,1181.1
U1,DRV8871,SOIC127P600X170-9,,TOP,180,1968.5,885.827
J2,25630601RP2,CON6_1X6_U_2563,NorComp 25630601RP2,TOP,0,2125.98,196.85
J7,25630701RP2,CON7_1X7_U_2563,NorComp 25630701RP2,TOP,0,2066.93,590.551
J3,25630701RP2,CON7_1X7_U_2563,NorComp 25630701RP2,TOP,0,2066.93,1279.53
J4,25630401RP2,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,0,551.181,590.551
J5,25630401RP2,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,0,551.181,196.85
J9,25630801RP2,CON8_1X8_U_2563,NorComp 25630801RP2,TOP,0,1318.9,492.126
J8,25630301RP2,CON3_1X3_U_2563,NorComp 25630301RP2,TOP,0,2165.35,2165.35
J10,PIN,PIN,,TOP,0,98.4252,2263.78
J11,PIN,PIN,,TOP,0,492.126,2263.78
J12,PIN,PIN,,TOP,0,393.701,1870.08
J13,PIN,PIN,,TOP,0,393.701,1673.23
J14,PIN,PIN,,TOP,0,885.827,787.402
J15,PIN,PIN,,TOP,0,885.827,590.551
J16,PIN,PIN,,TOP,0,885.827,393.701
J17,PIN,PIN,,TOP,0,885.827,196.85
J18,PIN,PIN,,TOP,0,1677.95,984.252
J19,PIN,PIN,,TOP,0,1673.23,787.402
R1,4.70k,RESC2012X50,Digikey RT0805DRD074K7L-ND,BOT,0,1712.6,393.701
R2,4.70k,RESC2012X50,Digikey RT0805DRD074K7L-ND,BOT,0,1712.6,295.276
R3,4.70k,RESC2012X50,Digikey RT0805DRD074K7L-ND,BOT,0,1712.6,196.85
R4,10K,RESC2012X50,Digikey 311-10KADKR-ND,BOT,0,1830.71,1082.68
R5,10K,RESC2012X50,Digikey 311-10KADKR-ND,BOT,0,2027.56,1082.68
R6,10K,RESC2012X50,Digikey 311-10KADKR-ND,BOT,0,1633.86,1279.53
R7,10K,RESC2012X50,Digikey 311-10KADKR-ND,BOT,0,1633.86,1082.68
R8,100K,RESC2012X50,Digikey 311-100KATR-ND,BOT,0,452.756,885.827
R9,100K,RESC2012X50,Digikey 311-100KATR-ND,BOT,0,649.606,885.827
R12,100K,RESC2012X50,Digikey 311-100KATR-ND,BOT,0,452.756,492.126
R13,100K,RESC2012X50,Digikey 311-100KATR-ND,BOT,0,649.606,492.126
Q1,2N7002,SOT23,,BOT,0,1082.68,848.327
Q2,2N7002,SOT23,,BOT,0,1082.68,651.476
Q3,2N7002,SOT23,,BOT,0,750.402,37.5
Q4,2N7002,SOT23,,BOT,0,922.827,37.5
C4,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,1950.79,0
C5,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,769.685,590.551
C6,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,769.685,492.126
C7,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,572.835,98.4252
C8,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,474.409,98.4252
R16,100,RESC2012X50,Digikey RT0805DRE07100RL-ND,BOT,0,2224.41,885.827
R17,47K,RESC2012X50,Digikey 311-47KADKR-ND,BOT,0,2224.41,688.976
R18,91K,RESC2012X50,Digikey 311-91KACT-ND,BOT,0,1929.13,393.701
R19,47K,RESC2012X50,Digikey 311-47KADKR-ND,BOT,0,2125.98,393.701
R20,91K,RESC2012X50,Digikey 311-91KACT-ND,BOT,0,2322.83,393.701
C9,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,1620.08,688.976
C10,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,2246.06,1377.95
Q5,2N7002,SOT23,,BOT,0,1045.68,332.776
Q6,2N7002,SOT23,,BOT,0,1242.53,332.776
Q7,2N7002,SOT23,,BOT,0,1439.38,332.776
Q8,2N7002,SOT23,,BOT,0,1045.68,135.925
R22,91K,RESC2012X50,Digikey 311-91KACT-ND,BOT,0,1732.28,590.551
R23,280,RESC1005X40,Digikey 311-280LDKR-ND,BOT,0,1259.84,98.4252
R24,280,RESC1005X40,Digikey 311-280LDKR-ND,BOT,0,1456.69,98.4252
R25,280,RESC1005X40,Digikey 311-280LDKR-ND,BOT,0,1259.84,0
R26,280,RESC1005X40,Digikey 311-280LDKR-ND,BOT,0,1456.69,0
C11,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,1163.39,0
J20,PIN,PIN,,TOP,0,2066.93,1870.08
J21,PIN,PIN,,TOP,0,2066.93,1673.23
J22,PIN,PIN,,TOP,0,2066.93,1476.38
C12,10000pF,CAPC1005X55,Digikey 311-1045-2-ND,BOT,0,1458.66,590.551
C1,10u,CAPC3216X140,Digikey 478-1573-1-ND,TOP,0,649.606,1673.23
C2,10u,CAPC3216X140,Digikey 478-1573-1-ND,TOP,0,452.756,1476.38
C3,10u,CAPC3216X140,Digikey 478-1573-1-ND,TOP,0,649.606,1476.38
R14,47K,RESC2012X50,Digikey 311-47KADKR-ND,TOP,0,452.756,393.701
R15,91K,RESC2012X50,Digikey 311-91KACT-ND,TOP,0,629.921,393.701
R21,47K,RESC2012X50,Digikey 311-47KADKR-ND,TOP,0,1413.58,1181.1
R10,47K,RESC2012X50,Digikey 311-47KADKR-ND,TOP,0,452.756,787.402
R11,91K,RESC2012X50,Digikey 311-91KACT-ND,TOP,0,649.606,787.402
